"review","rating","sentiment","review_processed","document_no","dominant_topic","Label","topic_perc_contrib","keywords","Text"
Beli pulsa paket data sehari gak masuk dan disuruh nunggu 2-5 hari jika belum masuk disuruh hubungi.very bad padahal udah dipotong shopepay trus paket data buat belajar daring.Penanganan jika ada masalah buruk..... Mending toko sebelah,1,0,beli pulsa paket data suruh nunggu suruh hubung potong shopepay paket data ajar daring tangan mending toko belah,173,0,0,0.8976,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['beli', 'pulsa', 'paket', 'data', 'suruh', 'tunggu', 'suruh', 'hubung', 'potong', 'shopepay', 'paket', 'data', 'ajar', 'daring', 'tangan', 'lebih baik', 'toko', 'belah']"
Akun aku hilang dan ga bisa login pdahal msih ada Shopee pay nya 400.000????,2,0,akun hilang login pdahal msih pay,88,0,0,0.8856,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['akun', 'hilang', 'login', 'pdahal', 'msih', 'bayar']"
"Shopee semakin kesini, makin parah.saya memakai shopee lama,tapi kenapa setiap saya cek,aut gagal terus capek dech.",1,0,kesini pakai cek aut gagal capek,93,0,0,0.8855,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['kesini', 'pakai', 'cek', 'aut', 'gagal', 'capek']"
Susah sekali mau beli pulsa bayar pake shopeepay aja enggak bs,1,0,susah beli pulsa bayar pake shopeepay,241,0,0,0.8845,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['susah', 'beli', 'pulsa', 'bayar', 'pakai', 'shopeepay']"
Setiap mau melakukan tarik saldo dan menambahkan nomor rekening selalu ada pemberitahuan tokopedia terhenti.. berkali kali saya lakukan itu dan ga bs saya masukan nomor rekening saya..dan saya tidak bisa tarik saldo.. tolong dibantu share kendala saya,3,1,tarik saldo nomor rekening pemberitahuan henti nomor rekening tarik saldo tolong bantu share kendala,523,0,0,0.8744,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['tarik', 'saldo', 'nomor', 'rekening', 'pemberitahuan', 'henti', 'nomor', 'rekening', 'tarik', 'saldo', 'tolong', 'bantu', 'share', 'kendala']"
"Tidak bisa login ke akun saya!!, Suka keluar sendiri dari akun!!! Apalagi kode OTP nya lama",1,0,login akun akun kode otp,215,0,0,0.8667,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['login', 'akun', 'akun', 'kode', 'otp']"
Shopee nya login nya susah banget. Susah berbagai cara tetap gak bisa. Tolong dong dibenahin,1,0,login susah susah tolong dibenahin,255,0,0,0.8665,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['login', 'susah', 'susah', 'tolong', 'dibenahin']"
untuk refund dan pencarin kebank ko belum masuk ya saldonya ya... tolong dijawab,3,1,refund pencarin bank saldo tolong,623,0,0,0.8634,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['refund', 'pencarin', 'bank', 'saldo', 'tolong']"
"Saya kecewa kenapa uang refund masuk ke dana., Dana saya tidak dapak menggunakan lagi.,karna setiap mau melakukan transaksi harus di minta kode otp., Sedangkan nomer hp saya sudah hangus tidak aktif",1,0,uang refund dana dana dapak transaksi kode otp nomer hp hangus aktif,179,0,0,0.8406,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['uang', 'refund', 'dana', 'dana', 'dapak', 'transaksi', 'kode', 'otp', 'nomer', 'handphone', 'hangus', 'aktif']"
Rate 1 ges klo klian kesel ama iklanya,1,0,rate ges kesel iklanya,372,0,4,0.84,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['rate', 'ges', 'kesel', 'iklanya']"
